CWE_TYPE,CWE_ID,CWE_NAME
CWE,5,"J2EE Misconfiguration: Data Transmission Without Encryption"
CWE,6,"J2EE Misconfiguration: Insufficient Session-ID Length"
CWE,7,"J2EE Misconfiguration: Missing Custom Error Page"
CWE,8,"J2EE Misconfiguration: Entity Bean Declared Remote"
CWE,9,"J2EE Misconfiguration: Weak Access Permissions for EJB Methods"
CWE,11,"ASP.NET Misconfiguration: Creating Debug Binary"
CWE,12,"ASP.NET Misconfiguration: Missing Custom Error Page"
CWE,13,"ASP.NET Misconfiguration: Password in Configuration File"
CWE,14,"Compiler Removal of Code to Clear Buffers"
CWE,15,"External Control of System or Configuration Setting"
CWE,20,"Improper Input Validation"
CWE,22,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CWE,23,"Relative Path Traversal"
CWE,24,"Path Traversal: '../filedir'"
CWE,25,"Path Traversal: '/../filedir'"
CWE,26,"Path Traversal: '/dir/../filename'"
CWE,27,"Path Traversal: 'dir/../../filename'"
CWE,28,"Path Traversal: '..\filedir'"
CWE,29,"Path Traversal: '\..\filename'"
CWE,30,"Path Traversal: '\dir\..\filename'"
CWE,31,"Path Traversal: 'dir\..\..\filename'"
CWE,32,"Path Traversal: '...' (Triple Dot)"
CWE,33,"Path Traversal: '....' (Multiple Dot)"
CWE,34,"Path Traversal: '....//'"
CWE,35,"Path Traversal: '.../...//'"
CWE,36,"Absolute Path Traversal"
CWE,37,"Path Traversal: '/absolute/pathname/here'"
CWE,38,"Path Traversal: '\absolute\pathname\here'"
CWE,39,"Path Traversal: 'C:dirname'"
CWE,40,"Path Traversal: '\\UNC\share\name\' (Windows UNC Share)"
CWE,41,"Improper Resolution of Path Equivalence"
CWE,42,"Path Equivalence: 'filename.' (Trailing Dot)"
CWE,43,"Path Equivalence: 'filename....' (Multiple Trailing Dot)"
CWE,44,"Path Equivalence: 'file.name' (Internal Dot)"
CWE,45,"Path Equivalence: 'file...name' (Multiple Internal Dot)"
CWE,46,"Path Equivalence: 'filename ' (Trailing Space)"
CWE,47,"Path Equivalence: ' filename' (Leading Space)"
CWE,48,"Path Equivalence: 'file name' (Internal Whitespace)"
CWE,49,"Path Equivalence: 'filename/' (Trailing Slash)"
CWE,50,"Path Equivalence: '//multiple/leading/slash'"
CWE,51,"Path Equivalence: '/multiple//internal/slash'"
CWE,52,"Path Equivalence: '/multiple/trailing/slash//'"
CWE,53,"Path Equivalence: '\multiple\\internal\backslash'"
CWE,54,"Path Equivalence: 'filedir\' (Trailing Backslash)"
CWE,55,"Path Equivalence: '/./' (Single Dot Directory)"
CWE,56,"Path Equivalence: 'filedir*' (Wildcard)"
CWE,57,"Path Equivalence: 'fakedir/../realdir/filename'"
CWE,58,"Path Equivalence: Windows 8.3 Filename"
CWE,59,"Improper Link Resolution Before File Access ('Link Following')"
CWE,61,"UNIX Symbolic Link (Symlink) Following"
CWE,62,"UNIX Hard Link"
CWE,64,"Windows Shortcut Following (.LNK)"
CWE,65,"Windows Hard Link"
CWE,66,"Improper Handling of File Names that Identify Virtual Resources"
CWE,67,"Improper Handling of Windows Device Names"
CWE,69,"Improper Handling of Windows ::DATA Alternate Data Stream"
CWE,72,"Improper Handling of Apple HFS+ Alternate Data Stream Path"
CWE,73,"External Control of File Name or Path"
CWE,74,"Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"
CWE,75,"Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)"
CWE,76,"Improper Neutralization of Equivalent Special Elements"
CWE,77,"Improper Neutralization of Special Elements used in a Command ('Command Injection')"
CWE,78,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CWE,79,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CWE,80,"Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)"
CWE,81,"Improper Neutralization of Script in an Error Message Web Page"
CWE,82,"Improper Neutralization of Script in Attributes of IMG Tags in a Web Page"
CWE,83,"Improper Neutralization of Script in Attributes in a Web Page"
CWE,84,"Improper Neutralization of Encoded URI Schemes in a Web Page"
CWE,85,"Doubled Character XSS Manipulations"
CWE,86,"Improper Neutralization of Invalid Characters in Identifiers in Web Pages"
CWE,87,"Improper Neutralization of Alternate XSS Syntax"
CWE,88,"Argument Injection or Modification"
CWE,89,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CWE,90,"Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')"
CWE,91,"XML Injection (aka Blind XPath Injection)"
CWE,93,"Improper Neutralization of CRLF Sequences ('CRLF Injection')"
CWE,94,"Improper Control of Generation of Code ('Code Injection')"
CWE,95,"Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')"
CWE,96,"Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')"
CWE,97,"Improper Neutralization of Server-Side Includes (SSI) Within a Web Page"
CWE,98,"Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')"
CWE,99,"Improper Control of Resource Identifiers ('Resource Injection')"
CWE,102,"Struts: Duplicate Validation Forms"
CWE,103,"Struts: Incomplete validate() Method Definition"
CWE,104,"Struts: Form Bean Does Not Extend Validation Class"
CWE,105,"Struts: Form Field Without Validator"
CWE,106,"Struts: Plug-in Framework not in Use"
CWE,107,"Struts: Unused Validation Form"
CWE,108,"Struts: Unvalidated Action Form"
CWE,109,"Struts: Validator Turned Off"
CWE,110,"Struts: Validator Without Form Field"
CWE,111,"Direct Use of Unsafe JNI"
CWE,112,"Missing XML Validation"
CWE,113,"Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')"
CWE,114,"Process Control"
CWE,115,"Misinterpretation of Input"
CWE,116,"Improper Encoding or Escaping of Output"
CWE,117,"Improper Output Neutralization for Logs"
CWE,118,"Incorrect Access of Indexable Resource ('Range Error')"
CWE,119,"Improper Restriction of Operations within the Bounds of a Memory Buffer"
CWE,120,"Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
CWE,121,"Stack-based Buffer Overflow"
CWE,122,"Heap-based Buffer Overflow"
CWE,123,"Write-what-where Condition"
CWE,124,"Buffer Underwrite ('Buffer Underflow')"
CWE,125,"Out-of-bounds Read"
CWE,126,"Buffer Over-read"
CWE,127,"Buffer Under-read"
CWE,128,"Wrap-around Error"
CWE,129,"Improper Validation of Array Index"
CWE,130,"Improper Handling of Length Parameter Inconsistency "
CWE,131,"Incorrect Calculation of Buffer Size"
CWE,134,"Use of Externally-Controlled Format String"
CWE,135,"Incorrect Calculation of Multi-Byte String Length"
CWE,138,"Improper Neutralization of Special Elements"
CWE,140,"Improper Neutralization of Delimiters"
CWE,141,"Improper Neutralization of Parameter/Argument Delimiters"
CWE,142,"Improper Neutralization of Value Delimiters"
CWE,143,"Improper Neutralization of Record Delimiters"
CWE,144,"Improper Neutralization of Line Delimiters"
CWE,145,"Improper Neutralization of Section Delimiters"
CWE,146,"Improper Neutralization of Expression/Command Delimiters"
CWE,147,"Improper Neutralization of Input Terminators"
CWE,148,"Improper Neutralization of Input Leaders"
CWE,149,"Improper Neutralization of Quoting Syntax"
CWE,150,"Improper Neutralization of Escape, Meta, or Control Sequences"
CWE,151,"Improper Neutralization of Comment Delimiters"
CWE,152,"Improper Neutralization of Macro Symbols"
CWE,153,"Improper Neutralization of Substitution Characters"
CWE,154,"Improper Neutralization of Variable Name Delimiters"
CWE,155,"Improper Neutralization of Wildcards or Matching Symbols"
CWE,156,"Improper Neutralization of Whitespace"
CWE,157,"Failure to Sanitize Paired Delimiters"
CWE,158,"Improper Neutralization of Null Byte or NUL Character"
CWE,159,"Failure to Sanitize Special Element"
CWE,160,"Improper Neutralization of Leading Special Elements"
CWE,161,"Improper Neutralization of Multiple Leading Special Elements"
CWE,162,"Improper Neutralization of Trailing Special Elements"
CWE,163,"Improper Neutralization of Multiple Trailing Special Elements"
CWE,164,"Improper Neutralization of Internal Special Elements"
CWE,165,"Improper Neutralization of Multiple Internal Special Elements"
CWE,166,"Improper Handling of Missing Special Element"
CWE,167,"Improper Handling of Additional Special Element"
CWE,168,"Improper Handling of Inconsistent Special Elements"
CWE,170,"Improper Null Termination"
CWE,172,"Encoding Error"
CWE,173,"Improper Handling of Alternate Encoding"
CWE,174,"Double Decoding of the Same Data"
CWE,175,"Improper Handling of Mixed Encoding"
CWE,176,"Improper Handling of Unicode Encoding"
CWE,177,"Improper Handling of URL Encoding (Hex Encoding)"
CWE,178,"Improper Handling of Case Sensitivity"
CWE,179,"Incorrect Behavior Order: Early Validation"
CWE,180,"Incorrect Behavior Order: Validate Before Canonicalize"
CWE,181,"Incorrect Behavior Order: Validate Before Filter"
CWE,182,"Collapse of Data into Unsafe Value"
CWE,183,"Permissive Whitelist"
CWE,184,"Incomplete Blacklist"
CWE,185,"Incorrect Regular Expression"
CWE,186,"Overly Restrictive Regular Expression"
CWE,187,"Partial String Comparison"
CWE,188,"Reliance on Data/Memory Layout"
CWE,190,"Integer Overflow or Wraparound"
CWE,191,"Integer Underflow (Wrap or Wraparound)"
CWE,192,"Integer Coercion Error"
CWE,193,"Off-by-one Error"
CWE,194,"Unexpected Sign Extension"
CWE,195,"Signed to Unsigned Conversion Error"
CWE,196,"Unsigned to Signed Conversion Error"
CWE,197,"Numeric Truncation Error"
CWE,198,"Use of Incorrect Byte Ordering"
CWE,200,"Information Exposure"
CWE,201,"Information Exposure Through Sent Data"
CWE,202,"Exposure of Sensitive Data Through Data Queries"
CWE,203,"Information Exposure Through Discrepancy"
CWE,204,"Response Discrepancy Information Exposure"
CWE,205,"Information Exposure Through Behavioral Discrepancy"
CWE,206,"Information Exposure of Internal State Through Behavioral Inconsistency"
CWE,207,"Information Exposure Through an External Behavioral Inconsistency"
CWE,208,"Information Exposure Through Timing Discrepancy"
CWE,209,"Information Exposure Through an Error Message"
CWE,210,"Information Exposure Through Self-generated Error Message"
CWE,211,"Information Exposure Through Externally-Generated Error Message"
CWE,212,"Improper Cross-boundary Removal of Sensitive Data"
CWE,213,"Intentional Information Exposure"
CWE,214,"Information Exposure Through Process Environment"
CWE,215,"Information Exposure Through Debug Information"
CWE,216,"Containment Errors (Container Errors)"
CWE,219,"Sensitive Data Under Web Root"
CWE,220,"Sensitive Data Under FTP Root"
CWE,221,"Information Loss or Omission"
CWE,222,"Truncation of Security-relevant Information"
CWE,223,"Omission of Security-relevant Information"
CWE,224,"Obscured Security-relevant Information by Alternate Name"
CWE,226,"Sensitive Information Uncleared Before Release"
CWE,228,"Improper Handling of Syntactically Invalid Structure"
CWE,229,"Improper Handling of Values"
CWE,230,"Improper Handling of Missing Values"
CWE,231,"Improper Handling of Extra Values"
CWE,232,"Improper Handling of Undefined Values"
CWE,233,"Improper Handling of Parameters"
CWE,234,"Failure to Handle Missing Parameter"
CWE,235,"Improper Handling of Extra Parameters"
CWE,236,"Improper Handling of Undefined Parameters"
CWE,237,"Improper Handling of Structural Elements"
CWE,238,"Improper Handling of Incomplete Structural Elements"
CWE,239,"Failure to Handle Incomplete Element"
CWE,240,"Improper Handling of Inconsistent Structural Elements"
CWE,241,"Improper Handling of Unexpected Data Type"
CWE,242,"Use of Inherently Dangerous Function"
CWE,243,"Creation of chroot Jail Without Changing Working Directory"
CWE,244,"Improper Clearing of Heap Memory Before Release ('Heap Inspection')"
CWE,245,"J2EE Bad Practices: Direct Management of Connections"
CWE,246,"J2EE Bad Practices: Direct Use of Sockets"
CWE,248,"Uncaught Exception"
CWE,250,"Execution with Unnecessary Privileges"
CWE,252,"Unchecked Return Value"
CWE,253,"Incorrect Check of Function Return Value"
CWE,256,"Unprotected Storage of Credentials"
CWE,257,"Storing Passwords in a Recoverable Format"
CWE,258,"Empty Password in Configuration File"
CWE,259,"Use of Hard-coded Password"
CWE,260,"Password in Configuration File"
CWE,261,"Weak Cryptography for Passwords"
CWE,262,"Not Using Password Aging"
CWE,263,"Password Aging with Long Expiration"
CWE,266,"Incorrect Privilege Assignment"
CWE,267,"Privilege Defined With Unsafe Actions"
CWE,268,"Privilege Chaining"
CWE,269,"Improper Privilege Management"
CWE,270,"Privilege Context Switching Error"
CWE,271,"Privilege Dropping / Lowering Errors"
CWE,272,"Least Privilege Violation"
CWE,273,"Improper Check for Dropped Privileges"
CWE,274,"Improper Handling of Insufficient Privileges"
CWE,276,"Incorrect Default Permissions"
CWE,277,"Insecure Inherited Permissions"
CWE,278,"Insecure Preserved Inherited Permissions"
CWE,279,"Incorrect Execution-Assigned Permissions"
CWE,280,"Improper Handling of Insufficient Permissions or Privileges "
CWE,281,"Improper Preservation of Permissions"
CWE,282,"Improper Ownership Management"
CWE,283,"Unverified Ownership"
CWE,284,"Improper Access Control"
CWE,285,"Improper Authorization"
CWE,286,"Incorrect User Management"
CWE,287,"Improper Authentication"
CWE,288,"Authentication Bypass Using an Alternate Path or Channel"
CWE,289,"Authentication Bypass by Alternate Name"
CWE,290,"Authentication Bypass by Spoofing"
CWE,291,"Reliance on IP Address for Authentication"
CWE,293,"Using Referer Field for Authentication"
CWE,294,"Authentication Bypass by Capture-replay"
CWE,295,"Improper Certificate Validation"
CWE,296,"Improper Following of a Certificate's Chain of Trust"
CWE,297,"Improper Validation of Certificate with Host Mismatch"
CWE,298,"Improper Validation of Certificate Expiration"
CWE,299,"Improper Check for Certificate Revocation"
CWE,300,"Channel Accessible by Non-Endpoint ('Man-in-the-Middle')"
CWE,301,"Reflection Attack in an Authentication Protocol"
CWE,302,"Authentication Bypass by Assumed-Immutable Data"
CWE,303,"Incorrect Implementation of Authentication Algorithm"
CWE,304,"Missing Critical Step in Authentication"
CWE,305,"Authentication Bypass by Primary Weakness"
CWE,306,"Missing Authentication for Critical Function"
CWE,307,"Improper Restriction of Excessive Authentication Attempts"
CWE,308,"Use of Single-factor Authentication"
CWE,309,"Use of Password System for Primary Authentication"
CWE,311,"Missing Encryption of Sensitive Data"
CWE,312,"Cleartext Storage of Sensitive Information"
CWE,313,"Cleartext Storage in a File or on Disk"
CWE,314,"Cleartext Storage in the Registry"
CWE,315,"Cleartext Storage of Sensitive Information in a Cookie"
CWE,316,"Cleartext Storage of Sensitive Information in Memory"
CWE,317,"Cleartext Storage of Sensitive Information in GUI"
CWE,318,"Cleartext Storage of Sensitive Information in Executable"
CWE,319,"Cleartext Transmission of Sensitive Information"
CWE,321,"Use of Hard-coded Cryptographic Key"
CWE,322,"Key Exchange without Entity Authentication"
CWE,323,"Reusing a Nonce, Key Pair in Encryption"
CWE,324,"Use of a Key Past its Expiration Date"
CWE,325,"Missing Required Cryptographic Step"
CWE,326,"Inadequate Encryption Strength"
CWE,327,"Use of a Broken or Risky Cryptographic Algorithm"
CWE,328,"Reversible One-Way Hash"
CWE,329,"Not Using a Random IV with CBC Mode"
CWE,330,"Use of Insufficiently Random Values"
CWE,331,"Insufficient Entropy"
CWE,332,"Insufficient Entropy in PRNG"
CWE,333,"Improper Handling of Insufficient Entropy in TRNG"
CWE,334,"Small Space of Random Values"
CWE,335,"Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG)"
CWE,336,"Same Seed in Pseudo-Random Number Generator (PRNG)"
CWE,337,"Predictable Seed in Pseudo-Random Number Generator (PRNG)"
CWE,338,"Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)"
CWE,339,"Small Seed Space in PRNG"
CWE,340,"Predictability Problems"
CWE,341,"Predictable from Observable State"
CWE,342,"Predictable Exact Value from Previous Values"
CWE,343,"Predictable Value Range from Previous Values"
CWE,344,"Use of Invariant Value in Dynamically Changing Context"
CWE,345,"Insufficient Verification of Data Authenticity"
CWE,346,"Origin Validation Error"
CWE,347,"Improper Verification of Cryptographic Signature"
CWE,348,"Use of Less Trusted Source"
CWE,349,"Acceptance of Extraneous Untrusted Data With Trusted Data"
CWE,350,"Reliance on Reverse DNS Resolution for a Security-Critical Action"
CWE,351,"Insufficient Type Distinction"
CWE,352,"Cross-Site Request Forgery (CSRF)"
CWE,353,"Missing Support for Integrity Check"
CWE,354,"Improper Validation of Integrity Check Value"
CWE,356,"Product UI does not Warn User of Unsafe Actions"
CWE,357,"Insufficient UI Warning of Dangerous Operations"
CWE,358,"Improperly Implemented Security Check for Standard"
CWE,359,"Exposure of Private Information ('Privacy Violation')"
CWE,360,"Trust of System Event Data"
CWE,362,"Concurrent Execution using Shared Resource with Improper Synchronization ('Race
CWE,ition')"
CWE,363,"Race Condition Enabling Link Following"
CWE,364,"Signal Handler Race Condition"
CWE,365,"Race Condition in Switch"
CWE,366,"Race Condition within a Thread"
CWE,367,"Time-of-check Time-of-use (TOCTOU) Race Condition"
CWE,368,"Context Switching Race Condition"
CWE,369,"Divide By Zero"
CWE,370,"Missing Check for Certificate Revocation after Initial Check"
CWE,372,"Incomplete Internal State Distinction"
CWE,374,"Passing Mutable Objects to an Untrusted Method"
CWE,375,"Returning a Mutable Object to an Untrusted Caller"
CWE,377,"Insecure Temporary File"
CWE,378,"Creation of Temporary File With Insecure Permissions"
CWE,379,"Creation of Temporary File in Directory with Incorrect Permissions"
CWE,382,"J2EE Bad Practices: Use of System.exit()"
CWE,383,"J2EE Bad Practices: Direct Use of Threads"
CWE,384,"Session Fixation"
CWE,385,"Covert Timing Channel"
CWE,386,"Symbolic Name not Mapping to Correct Object"
CWE,390,"Detection of Error Condition Without Action"
CWE,391,"Unchecked Error Condition"
CWE,392,"Missing Report of Error Condition"
CWE,393,"Return of Wrong Status Code"
CWE,394,"Unexpected Status Code or Return Value"
CWE,395,"Use of NullPointerException Catch to Detect NULL Pointer Dereference"
CWE,396,"Declaration of Catch for Generic Exception"
CWE,397,"Declaration of Throws for Generic Exception"
CWE,400,"Uncontrolled Resource Consumption ('Resource Exhaustion')"
CWE,401,"Improper Release of Memory Before Removing Last Reference ('Memory Leak')"
CWE,402,"Transmission of Private Resources into a New Sphere ('Resource Leak')"
CWE,403,"Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')"
CWE,404,"Improper Resource Shutdown or Release"
CWE,405,"Asymmetric Resource Consumption (Amplification)"
CWE,406,"Insufficient Control of Network Message Volume (Network Amplification)"
CWE,407,"Algorithmic Complexity"
CWE,408,"Incorrect Behavior Order: Early Amplification"
CWE,409,"Improper Handling of Highly Compressed Data (Data Amplification)"
CWE,410,"Insufficient Resource Pool"
CWE,412,"Unrestricted Externally Accessible Lock"
CWE,413,"Improper Resource Locking"
CWE,414,"Missing Lock Check"
CWE,415,"Double Free"
CWE,416,"Use After Free"
CWE,419,"Unprotected Primary Channel"
CWE,420,"Unprotected Alternate Channel"
CWE,421,"Race Condition During Access to Alternate Channel"
CWE,422,"Unprotected Windows Messaging Channel ('Shatter')"
CWE,424,"Improper Protection of Alternate Path"
CWE,425,"Direct Request ('Forced Browsing')"
CWE,426,"Untrusted Search Path"
CWE,427,"Uncontrolled Search Path Element"
CWE,428,"Unquoted Search Path or Element"
CWE,430,"Deployment of Wrong Handler"
CWE,431,"Missing Handler"
CWE,432,"Dangerous Signal Handler not Disabled During Sensitive Operations"
CWE,433,"Unparsed Raw Web Content Delivery"
CWE,434,"Unrestricted Upload of File with Dangerous Type"
CWE,435,"Improper Interaction Between Multiple Correctly-Behaving Entities"
CWE,436,"Interpretation Conflict"
CWE,437,"Incomplete Model of Endpoint Features"
CWE,439,"Behavioral Change in New Version or Environment"
CWE,440,"Expected Behavior Violation"
CWE,441,"Unintended Proxy or Intermediary ('Confused Deputy')"
CWE,444,"Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling')"
CWE,446,"UI Discrepancy for Security Feature"
CWE,447,"Unimplemented or Unsupported Feature in UI"
CWE,448,"Obsolete Feature in UI"
CWE,449,"The UI Performs the Wrong Action"
CWE,450,"Multiple Interpretations of UI Input"
CWE,451,"User Interface (UI) Misrepresentation of Critical Information"
CWE,453,"Insecure Default Variable Initialization"
CWE,454,"External Initialization of Trusted Variables or Data Stores"
CWE,455,"Non-exit on Failed Initialization"
CWE,456,"Missing Initialization of a Variable"
CWE,457,"Use of Uninitialized Variable"
CWE,459,"Incomplete Cleanup"
CWE,460,"Improper Cleanup on Thrown Exception"
CWE,462,"Duplicate Key in Associative List (Alist)"
CWE,463,"Deletion of Data Structure Sentinel"
CWE,464,"Addition of Data Structure Sentinel"
CWE,466,"Return of Pointer Value Outside of Expected Range"
CWE,467,"Use of sizeof() on a Pointer Type"
CWE,468,"Incorrect Pointer Scaling"
CWE,469,"Use of Pointer Subtraction to Determine Size"
CWE,470,"Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')"
CWE,471,"Modification of Assumed-Immutable Data (MAID)"
CWE,472,"External Control of Assumed-Immutable Web Parameter"
CWE,473,"PHP External Variable Modification"
CWE,474,"Use of Function with Inconsistent Implementations"
CWE,475,"Undefined Behavior for Input to API"
CWE,476,"NULL Pointer Dereference"
CWE,477,"Use of Obsolete Function"
CWE,478,"Missing Default Case in Switch Statement"
CWE,479,"Signal Handler Use of a Non-reentrant Function"
CWE,480,"Use of Incorrect Operator"
CWE,481,"Assigning instead of Comparing"
CWE,482,"Comparing instead of Assigning"
CWE,483,"Incorrect Block Delimitation"
CWE,484,"Omitted Break Statement in Switch"
CWE,486,"Comparison of Classes by Name"
CWE,487,"Reliance on Package-level Scope"
CWE,488,"Exposure of Data Element to Wrong Session"
CWE,489,"Leftover Debug Code"
CWE,491,"Public cloneable() Method Without Final ('Object Hijack')"
CWE,492,"Use of Inner Class Containing Sensitive Data"
CWE,493,"Critical Public Variable Without Final Modifier"
CWE,494,"Download of Code Without Integrity Check"
CWE,495,"Private Array-Typed Field Returned From A Public Method"
CWE,496,"Public Data Assigned to Private Array-Typed Field"
CWE,497,"Exposure of System Data to an Unauthorized Control Sphere"
CWE,498,"Cloneable Class Containing Sensitive Information"
CWE,499,"Serializable Class Containing Sensitive Data"
CWE,500,"Public Static Field Not Marked Final"
CWE,501,"Trust Boundary Violation"
CWE,502,"Deserialization of Untrusted Data"
CWE,506,"Embedded Malicious Code"
CWE,507,"Trojan Horse"
CWE,508,"Non-Replicating Malicious Code"
CWE,509,"Replicating Malicious Code (Virus or Worm)"
CWE,510,"Trapdoor"
CWE,511,"Logic/Time Bomb"
CWE,512,"Spyware"
CWE,514,"Covert Channel"
CWE,515,"Covert Storage Channel"
CWE,520,".NET Misconfiguration: Use of Impersonation"
CWE,521,"Weak Password Requirements"
CWE,522,"Insufficiently Protected Credentials"
CWE,523,"Unprotected Transport of Credentials"
CWE,524,"Information Exposure Through Caching"
CWE,525,"Information Exposure Through Browser Caching"
CWE,526,"Information Exposure Through Environmental Variables"
CWE,527,"Exposure of CVS Repository to an Unauthorized Control Sphere"
CWE,528,"Exposure of Core Dump File to an Unauthorized Control Sphere"
CWE,529,"Exposure of Access Control List Files to an Unauthorized Control Sphere"
CWE,530,"Exposure of Backup File to an Unauthorized Control Sphere"
CWE,531,"Information Exposure Through Test Code"
CWE,532,"Information Exposure Through Log Files"
CWE,535,"Information Exposure Through Shell Error Message"
CWE,536,"Information Exposure Through Servlet Runtime Error Message"
CWE,537,"Information Exposure Through Java Runtime Error Message"
CWE,538,"File and Directory Information Exposure"
CWE,539,"Information Exposure Through Persistent Cookies"
CWE,540,"Information Exposure Through Source Code"
CWE,541,"Information Exposure Through Include Source Code"
CWE,543,"Use of Singleton Pattern Without Synchronization in a Multithreaded Context"
CWE,544,"Missing Standardized Error Handling Mechanism"
CWE,546,"Suspicious Comment"
CWE,547,"Use of Hard-coded, Security-relevant Constants"
CWE,548,"Information Exposure Through Directory Listing"
CWE,549,"Missing Password Field Masking"
CWE,550,"Information Exposure Through Server Error Message"
CWE,551,"Incorrect Behavior Order: Authorization Before Parsing and Canonicalization"
CWE,552,"Files or Directories Accessible to External Parties"
CWE,553,"Command Shell in Externally Accessible Directory"
CWE,554,"ASP.NET Misconfiguration: Not Using Input Validation Framework"
CWE,555,"J2EE Misconfiguration: Plaintext Password in Configuration File"
CWE,556,"ASP.NET Misconfiguration: Use of Identity Impersonation"
CWE,558,"Use of getlogin() in Multithreaded Application"
CWE,560,"Use of umask() with chmod-style Argument"
CWE,561,"Dead Code"
CWE,562,"Return of Stack Variable Address"
CWE,563,"Assignment to Variable without Use"
CWE,564,"SQL Injection: Hibernate"
CWE,565,"Reliance on Cookies without Validation and Integrity Checking"
CWE,566,"Authorization Bypass Through User-Controlled SQL Primary Key"
CWE,567,"Unsynchronized Access to Shared Data in a Multithreaded Context"
CWE,568,"finalize() Method Without super.finalize()"
CWE,570,"Expression is Always False"
CWE,571,"Expression is Always True"
CWE,572,"Call to Thread run() instead of start()"
CWE,573,"Improper Following of Specification by Caller"
CWE,574,"EJB Bad Practices: Use of Synchronization Primitives"
CWE,575,"EJB Bad Practices: Use of AWT Swing"
CWE,576,"EJB Bad Practices: Use of Java I/O"
CWE,577,"EJB Bad Practices: Use of Sockets"
CWE,578,"EJB Bad Practices: Use of Class Loader"
CWE,579,"J2EE Bad Practices: Non-serializable Object Stored in Session"
CWE,580,"clone() Method Without super.clone()"
CWE,581,"Object Model Violation: Just One of Equals and Hashcode Defined"
CWE,582,"Array Declared Public, Final, and Static"
CWE,583,"finalize() Method Declared Public"
CWE,584,"Return Inside Finally Block"
CWE,585,"Empty Synchronized Block"
CWE,586,"Explicit Call to Finalize()"
CWE,587,"Assignment of a Fixed Address to a Pointer"
CWE,588,"Attempt to Access Child of a Non-structure Pointer"
CWE,589,"Call to Non-ubiquitous API"
CWE,590,"Free of Memory not on the Heap"
CWE,591,"Sensitive Data Storage in Improperly Locked Memory"
CWE,593,"Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created"
CWE,594,"J2EE Framework: Saving Unserializable Objects to Disk"
CWE,595,"Comparison of Object References Instead of Object Contents"
CWE,597,"Use of Wrong Operator in String Comparison"
CWE,598,"Information Exposure Through Query Strings in GET Request"
CWE,599,"Missing Validation of OpenSSL Certificate"
CWE,600,"Uncaught Exception in Servlet "
CWE,601,"URL Redirection to Untrusted Site ('Open Redirect')"
CWE,602,"Client-Side Enforcement of Server-Side Security"
CWE,603,"Use of Client-Side Authentication"
CWE,605,"Multiple Binds to the Same Port"
CWE,606,"Unchecked Input for Loop Condition"
