project,domain,cves,since,cve_rate,atoms
linux,os,1970,1995,85.65217391,0.01672940362
freebsd,os,342,1996,15.54545455,0.01351293692
gecko-dev,browser,0,,0,0.007948948005
gcc,compiler,6,2000,0.3333333333,0.01605352212
webkit,browser,0,,0,0.009524567947
mongo,db,11,2013,2.2,0.007716372788
clang,compiler,1,2014,0.25,0.01681719443
mysql-server,db,702,1998,35.1,0.01053701236
subversion,vcs,48,2004,3.428571429,0.008549021802
emacs,editor,20,2000,1.111111111,0.02142468925
git,vcs,10,2006,0.8333333333,0.02309734146
httpd,server,205,1996,9.318181818,0.01045591936
nginx,server,14,2009,1.555555556,0.006034278644
vim,editor,14,2008,1.4,0.02174880418